FIPS,STNAME,CTYNAME,TOT_POP
6001,California,Alameda County,1554720
6003,California,Alpine County,1129
6005,California,Amador County,37035
6007,California,Butte County,221539
6009,California,Calaveras County,44742
6011,California,Colusa County,21411
6013,California,Contra Costa County,1079597
6015,California,Del Norte County,28290
6017,California,El Dorado County,180561
6019,California,Fresno County,947895
6021,California,Glenn County,27992
6023,California,Humboldt County,134827
6025,California,Imperial County,176948
6027,California,Inyo County,18495
6029,California,Kern County,856158
6031,California,Kings County,151364
6033,California,Lake County,63983
6035,California,Lassen County,33658
6037,California,Los Angeles County,9962789
6039,California,Madera County,152218
6041,California,Marin County,256069
6043,California,Mariposa County,17905
6045,California,Mendocino County,87428
6047,California,Merced County,262305
6049,California,Modoc County,9327
6051,California,Mono County,14348
6053,California,Monterey County,426762
6055,California,Napa County,139045
6057,California,Nevada County,98292
6059,California,Orange County,3090132
6061,California,Placer County,361682
6063,California,Plumas County,19399
6065,California,Riverside County,2268783
6067,California,Sacramento County,1450121
6069,California,San Benito County,56884
6071,California,San Bernardino County,2081313
6073,California,San Diego County,3177063
6075,California,San Francisco County,825863
6077,California,San Joaquin County,702612
6079,California,San Luis Obispo County,274804
6081,California,San Mateo County,739311
6083,California,Santa Barbara County,431249
6085,California,Santa Clara County,1837504
6087,California,Santa Cruz County,266776
6089,California,Shasta County,178586
6091,California,Sierra County,3086
6093,California,Siskiyou County,44154
6095,California,Solano County,420757
6097,California,Sonoma County,491829
6099,California,Stanislaus County,521726
6101,California,Sutter County,95022
6103,California,Tehama County,63406
6105,California,Trinity County,13526
6107,California,Tulare County,451977
6109,California,Tuolumne County,54008
6111,California,Ventura County,835981
6113,California,Yolo County,204118
6115,California,Yuba County,72926
